sample	PRS
HG00663	-3.41924809951996
HG00671	-10.1382880049926
HG00672	-8.38828576026978
HG00674	-11.3153760911856
HG00675	-11.3827550681793
HG00683	-6.46803096228845
HG00684	-7.0265678595392
HG00689	-8.58792412288993
HG00690	-7.01204559212658
HG00692	-10.1228596008218
HG00693	-9.18047650005014
HG00698	-6.1383095888049
HG00699	-7.75795322351149
HG00701	-10.8313372095518
HG00704	-7.24609552164434
HG00705	-7.34173382766283
HG00707	-12.4859493727077
HG00708	-5.47368882268381
HG00717	-8.53793779972809
HG00728	-3.15947408080722
HG00729	-6.8163992004779
HG00731	-5.23619711416508
HG00732	-4.93237690045073
HG00734	-1.07570231596872
HG00736	3.41821705986947
HG00737	-5.18937111394709
HG00739	-3.45245821744194
HG00740	-1.33540326700008
HG00742	-0.325706681890449
HG00743	-3.56753553699062
HG00759	-9.46948513508047
HG00766	-12.9766631540278
HG00844	-12.3327556400118
HG00851	-6.73842096601476
HG00864	-7.78088586353634
HG00867	-7.7005599261514
HG00879	-9.75959625685057
HG00881	-10.8607790619276
HG00956	-6.45008298847873
HG00978	-6.65709097578056
HG00982	-10.1112789110463
HG01028	-11.8061166487034
HG01029	-3.25810508240153
HG01031	-7.0199462665674
HG01046	-2.76084999674207
HG01047	-9.86310421186731
HG01048	-0.345291032273906
HG01049	-5.49260212723333
HG01051	-5.90629344741335
HG01052	-10.8297671631413
HG01054	-3.39044380336578
HG01055	-3.56908254725229
HG01058	-3.54245835416244
HG01060	3.842512849968
HG01061	-7.92112966586426
HG01063	1.45749739958501
HG01064	2.1626757058087
HG01066	-1.32665140322074
HG01067	-7.39346358150131
HG01069	-0.478744211329921
HG01070	-3.04111606451432
HG01072	0.10783770905585
HG01073	-6.0129676364529
HG01075	-0.146746458742972
HG01077	-10.9739948648336
HG01079	-3.28222891984566
HG01080	-5.82365429687523
HG01082	-5.80205420393665
HG01083	-3.83514368787452
HG01085	-4.09903730630683
HG01086	-1.95716678077837
HG01088	-3.92942972995734
HG01089	-0.848132915047442
HG01092	-7.22696089141865
HG01094	0.433394663597915
HG01095	-3.96222014747337
HG01097	-1.47602613646379
HG01098	-4.4070807300562
HG01101	-8.05071053299939
HG01102	-3.24206763664151
HG01104	-2.12051889647268
HG01105	-4.10087448955445
HG01107	-4.12852481608735
HG01108	-6.2016579380242
HG01110	-7.13939933226765
HG01111	-9.89035964515243
HG01112	7.71656459825758
HG01113	-6.48336301056615
HG01119	-4.68371230710439
HG01121	0.228958580108172
HG01122	-5.67037913965734
HG01124	-3.448557927838
HG01125	-3.49876577880649
HG01130	-3.23951107923999
HG01131	-1.7424605887424
HG01133	2.1880106037547
HG01134	-0.91480118447853
HG01136	-10.359537252576
HG01137	1.47640558916235
HG01139	-4.20543428099946
HG01140	-5.63225753108589
HG01142	-3.99646183840468
HG01148	-3.89409613062402
HG01149	-3.66079928954732
HG01161	-6.66504672475188
HG01162	-3.54792624462476
HG01164	0.980786309869539
HG01167	1.87816231180636
HG01168	-7.14050614135723
HG01170	-8.59941939803616
HG01171	7.99969130149036
HG01173	6.18934461295605
HG01174	0.760788940748921
HG01176	-1.50623179688294
HG01177	-3.40998487469532
HG01182	-0.527989825924436
HG01183	-3.11927724993952
HG01187	2.57798973826222
HG01188	-2.20769632743372
HG01190	-5.85317405487876
HG01191	0.33796668399838
HG01197	-1.5396403829594
HG01198	-4.69897288719973
HG01200	-10.9038518769414
HG01204	-0.885913418655225
HG01205	-5.55940006106446
HG01241	-6.75668251076221
HG01242	1.32352938177039
HG01247	0.944382558303868
HG01248	-6.16972367275693
HG01250	-8.995786553692
HG01251	-3.58720736702818
HG01253	-8.67871468853444
HG01254	0.386909501693292
HG01256	6.2006288944606
HG01257	0.10682043529403
HG01259	2.8599343556262
HG01260	-0.715160578193209
HG01269	-1.34711037855171
HG01271	-3.44317438280074
HG01272	-2.92174503985336
HG01275	6.86578844512923
HG01277	-4.20143089575927
HG01280	-3.88900248012525
HG01281	-9.01024570267381
HG01284	1.17906025205882
HG01286	-10.3757208682736
HG01302	-6.28242394047568
HG01303	-7.39954796723716
HG01305	-6.51420069484671
HG01308	-6.64046732766243
HG01311	-4.02470210321171
HG01312	-1.10573630340269
HG01323	-6.83623967560737
HG01325	-7.88049271137873
HG01326	-11.6699241064428
HG01334	3.07300056133979
HG01341	3.13208858915915
HG01342	1.55757297977825
HG01344	-9.81715217601961
HG01345	2.56679842856318
HG01348	-7.36347107807594
HG01350	-7.68824140286893
HG01351	-3.70687462153925
HG01353	-6.51461772269255
HG01354	-4.62635349169242
HG01356	-8.97270527321138
HG01357	-9.45066374116601
HG01359	-6.72734877761062
HG01360	-2.01967267559251
HG01362	-7.75413221437324
HG01363	-6.91432063883333
HG01365	-6.96127511809225
HG01366	-8.04246702310405
HG01369	-5.77093040883213
HG01372	4.3316231013714
HG01374	-3.05034585186731
HG01375	-0.0366986100635172
HG01377	-5.37282555511259
HG01378	-2.17220036075295
HG01383	-2.73480982394618
HG01384	-10.3462484232476
HG01389	-7.93011978296311
HG01390	3.69974592163079
HG01392	0.374142621835874
HG01393	-5.58058250188195
HG01395	-4.86543207954134
HG01396	-6.70559449492784
HG01398	2.08356492018461
HG01402	-5.39632881308091
HG01403	-5.69551641521262
HG01405	-3.40536641007198
HG01412	0.703175224789414
HG01413	-5.01000366747666
HG01414	-7.21235128832327
HG01431	-10.147822384595
HG01432	-2.31020256099047
HG01435	-2.92124103204056
HG01437	-1.93058562945401
HG01438	4.70727394403519
HG01440	-1.79519428330938
HG01441	-11.2932682846173
HG01443	-6.9586084269815
HG01444	-1.10563261141438
HG01447	1.54967541776992
HG01455	-10.629914654455
HG01456	-7.06941637859395
HG01459	-2.86800272613382
HG01461	-6.90970343421532
HG01462	-2.45489561047505
HG01464	-1.2987733427439
HG01465	0.84309628431211
HG01468	-9.30130585019299
HG01474	0.8388636727516
HG01479	-0.421045979119165
HG01485	-0.0397070459499448
HG01486	-5.41414203128995
HG01488	-1.78792467900204
HG01489	6.02948835605986
HG01491	-2.76020865845767
HG01492	-1.38877331946333
HG01494	-2.19379978318557
HG01495	-4.82808015650313
HG01497	-12.1584686368681
HG01498	-5.02440459722476
HG01500	-2.50047414619559
HG01501	-7.22266838416255
HG01503	-2.42660931729195
HG01504	-1.27480485300152
HG01506	-2.31220612634536
HG01507	-5.6735508998261
HG01509	3.77985576513116
HG01510	-2.23614571545775
HG01512	-4.8167825905904
HG01513	10.5070457228572
HG01515	-0.865098696845091
HG01516	3.82707832272831
